Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.kg,DietBreadth,HabitatBreadth,InterbirthInterval.d,LitterSize,MaxLongevity.y,SexualMaturityAge.d,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.cm,Temp.Mean.1degC
Monachus tropicalis,Negative,Negative,NA,no,-41.93,-5.22,0.03,NA,197.76,1,2,547.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ommatophoca rossii,Negative,Negative,NA,no,-41.95,-5.23,0.03,2,208.25,1,2,365,0.96,21.00,1489.84,27.84,NA,NA,NA,NA,NA,NA
Monachus schauinslandi,Negative,Negative,polygamous,no,-41.93,-5.22,0.03,1,223.00,6,2,467.39,1,30.00,1687.65,37.13,NA,NA,NA,NA,NA,NA
Lobodon carcinophaga,Negative,Negative,monogamous,no,-41.95,-5.23,0.03,2,225.00,1,2,547.5,0.96,39.00,1522.5,31.32,NA,NA,NA,NA,NA,NA
Phocarctos hookeri,Negative,Negative,polygamous,yes,-42.09,-5.27,0.03,NA,273.50,7,2,365,1,NA,2030,252.01,NA,NA,NA,NA,NA,NA
Cystophora cristata,Negative,Negative,polygamous,no,-41.98,-5.24,0.03,NA,278.90,6,2,365,1,35.00,1262.74,9.5,NA,NA,NA,NA,NA,NA
Erignathus barbatus,Negative,Negative,polygamous,no,-41.9,-5.21,0.03,NA,280.00,6,2,547.5,1,31.45,2199.16,20.94,NA,NA,NA,NA,NA,NA
Monachus monachus,Negative,Negative,NA,yes,-41.92,-5.22,0.03,2,294.88,6,2,730,1,23.70,1567.84,42.75,NA,NA,NA,NA,NA,NA
Hydrurga leptonyx,Negative,Negative,polygamous,no,-41.95,-5.23,0.03,2,352.68,6,2,365,0.96,26.00,1389.01,30.41,NA,NA,NA,NA,NA,NA
Ursus maritimus,Negative,Negative,polygamous,no,-32.93,-1.32,0.05,3,371.70,3,1,831.67,1.66,38.20,1850.26,205.17,NA,NA,NA,NA,NA,NA
Eumetopias jubatus,Negative,Negative,polygamous,yes,-42.08,-5.27,0.03,1,382.47,6,2,365,0.96,30.00,1965.83,351,NA,NA,NA,NA,NA,NA
Leptonychotes weddellii,Negative,Negative,polygamous,no,-41.95,-5.23,0.03,2,400.00,6,2,365,1,25.00,1587.55,43.35,NA,NA,NA,NA,NA,NA
Odobenus rosmarus,Negative,Negative,polygamous,yes,-41.38,-5.07,0.03,2,1043.00,6,2,821.25,1.22,40.00,2315.02,591.36,NA,NA,NA,NA,NA,NA
Mirounga angustirostris,Negative,Negative,polygamous,no,-41.94,-5.23,0.03,2,1112.39,6,2,365,1,20.29,1522.5,27.37,NA,NA,NA,NA,NA,NA
Mirounga leonina,Negative,Negative,NA,NA,-41.94,-5.23,0.03,2,1600.00,2,2,365,1,23.00,1607.08,22.93,NA,NA,NA,NA,NA,NA
Mustela subpalmata,Negative,Negative,polygamous,no,-56.48,-20.94,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,51212.85,30.53,30.54,607.53,0.53,20.13
Galerella ochracea,Negative,Negative,NA,NA,62.16,-18.75,-28.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,452479.81,4.71,45.71,14.41,2.34,25.97
Leopardus colocolo,Negative,Negative,NA,NA,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,180642.4,-25.46,-69.95,46.92,2.59,1.24
Spilogale gracilis,Negative,Negative,polygamous,yes,-47.17,-12.92,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3831634.7,36.59,-112.01,22.96,3.41,11.77
Lycalopex griseus,Negative,Negative,monogamous,yes,-6.83,85.29,-17.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1620863.23,-38.9,-68.23,12.37,4.97,11.14
Neovison vison,Negative,Negative,polygamous,no,-56.36,-20.84,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,13218592.49,48.16,-111.87,20.21,5.54,1.49
Conepatus chinga,Negative,Negative,polygamous,no,-47.1,-12.87,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3247304.52,-24.6,-66.13,25.6,6.50,13.39
Leopardus geoffroyi,Negative,Negative,NA,no,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,3653843.2,-33.21,-61.27,11.82,6.84,15.72
Leopardus pajeros,Negative,Negative,NA,NA,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2316055.55,-26.41,-70.23,8.82,7.94,13.58
Leopardus guigna,Negative,Negative,NA,no,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,190039.77,-39.4,-72.53,47.1,10.29,8.36
Leopardus braccatus,Negative,Negative,NA,NA,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,935418.44,-24.26,-54.78,17.31,11.42,21.30
Lutra nippon,Negative,Negative,NA,NA,-56.5,-20.96,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,305747.47,39.47,138.34,323.22,12.51,8.34
Mustela itatsi,Negative,Negative,polygamous,no,-56.5,-20.95,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,362403.77,38.25,137.69,312.45,13.22,9.06
Herpestes fuscus,Negative,Negative,NA,NA,62.17,-18.75,-28.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,91597.58,10.17,78.62,332.93,13.28,25.52
Leopardus tigrinus,Negative,Negative,NA,no,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,11884529.12,-9.35,-59.58,25.54,14.62,23.82
Genetta pardina,Negative,Negative,NA,NA,59.88,-17.05,-25.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,1125427.08,8.96,-8.07,50.48,14.63,26.24
Lycalopex fulvipes,Negative,Negative,monogamous,no,-6.83,85.29,-17.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,8795.59,-40.4,-73.68,24.53,15.35,10.50
Galictis vittata,Negative,Negative,monogamous,yes,-56.41,-20.88,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,10078448.48,3.5,-66.73,18.86,15.96,24.80
Viverra megaspila,Negative,Negative,NA,NA,59.01,-16.49,-24.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1595937.43,12.1,101.83,136.81,16.26,24.21
Poiana leightoni,Negative,Negative,NA,NA,59.64,-16.9,-25.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,188494.8,6.45,-8.1,40.05,20.09,24.97
Melogale orientalis,Negative,Negative,NA,yes,-55.4,-20.03,-0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,13388.78,-7.52,110.97,984.27,20.20,23.82
Bassaricyon alleni,Negative,Negative,NA,NA,-50.04,-15.39,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,467192.71,-7.01,-71.69,2.2,20.88,25.81
Melogale everetti,Negative,Negative,NA,no,-55.4,-20.03,-0.29,2,NA,6,1,NA,2,NA,NA,NA,213.93,6.08,116.54,89.5,22.75,23.65
Diplogale hosei,Negative,Negative,NA,NA,59.14,-16.57,-24.53,1,NA,6,1,NA,NA,NA,NA,NA,14471.88,5.41,116.42,34.39,25.77,23.13
Herpestes semitorquatus,Negative,Negative,NA,NA,62.17,-18.75,-28.85,NA,NA,NA,1,NA,NA,NA,NA,NA,209629.86,0.32,109.16,41.72,27.38,24.15
Prionailurus iriomotensis,Negative,Negative,monogamous,no,45.07,5.08,67.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.7,24.33,123.8,365,NA,NA
Dusicyon australis,Negative,Negative,monogamous,yes,-6.83,85.24,-17.37,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
